region_list,model_name,area,BGC_GPP,model_log10ratio,burke_growth_log10ratio,burke_level_log10ratio,newell_growth_log10ratio,newell_level_log10ratio
Brazil,CNRM-ESM2-1,8626692120576.0,7.513997449542426,-0.12470156475447546,-10.14494253642693,-0.39197261804240974,-1.6682146309827037,-0.22032300833628315
Bulgaria,CNRM-ESM2-1,89858951168.0,5.154839728561363,-0.06359557876693958,-6.053020577770583,-0.1283597560500914,-1.1100998072087793,-0.048432794050893416
Burkina Faso,CNRM-ESM2-1,237767645184.0,1.945736378746829,-0.08989797913700968,-9.938665238970115,-0.3960753100188336,-0.09516091484542441,-0.13873402944383278
Burundi,CNRM-ESM2-1,24310106112.0,6.187078160690739,0.004890179148884559,-6.422571790069318,-0.2195530174930199,-0.7684155502887953,-0.13928460689447308
Cambodia,CNRM-ESM2-1,142469648384.0,7.434409784539019,-0.11391129196333474,-10.017642376629137,-0.3574602064097985,-1.4825172891066596,-0.1653855858813857
Cameroon,CNRM-ESM2-1,435882113024.0,6.823179116529057,-0.040953464842271185,-8.198981793000394,-0.29676306790813933,-1.12969345213816,-0.1612523033224113
Canada,CNRM-ESM2-1,9424857990912.0,2.6340327066482745,0.10387453270546021,5.241587246254561,0.047264991418657976,0.7439585497679944,0.07959808081154972
Central African Rep.,CNRM-ESM2-1,556299046912.0,3.159462116101603,0.02570979316602737,-7.547773228265172,-0.2804175778847541,0.005328411595930801,-0.027048120020514727
Chile,CNRM-ESM2-1,673340191744.0,2.911885407933133,0.024753797031799855,-4.010527280501823,-0.12596734570722906,-0.6097790842081594,-0.06041222605290992
China,CNRM-ESM2-1,9303069665280.0,3.4732776295797305,0.037206579535768544,-0.29280434233079505,-0.09974820277224174,0.09440151560700555,-0.004729920875014532
Colombia,CNRM-ESM2-1,1188755888128.0,7.675081223771485,-0.06936174968402177,-9.089136383627245,-0.3614303823488379,-1.4813511878873529,-0.22117956977092262
Congo,CNRM-ESM2-1,316322433024.0,7.435238455611888,-0.04656676868216357,-8.722627321548941,-0.3255191231635284,-1.1998378845364055,-0.14484198795909412
