region_list,model_name,model_cumulative,burke_growth,burke_level,newell_growth,newell_level
Russia,ACCESS-ESM1-5,32.18544911968249,260860379366.4338,34.99770887430667,339.4183073187313,22.383949838186155
S. Sudan,ACCESS-ESM1-5,-45.55806352913171,-99.99999999760038,-43.514438822453194,-4.704194054673455,-33.01771422993285
Senegal,ACCESS-ESM1-5,-72.86924579363901,-100.0,-60.1022200775559,-87.50915303813352,-48.51923936972527
Serbia,ACCESS-ESM1-5,-29.305990701946705,-99.99229509449663,-22.311752801805472,-88.6607065550185,-19.388886389705213
Sierra Leone,ACCESS-ESM1-5,-9.410679093363006,-99.99999997664037,-32.99700794912227,-31.278777147411553,-24.79075998191822
Slovakia,ACCESS-ESM1-5,-13.173861649382312,-99.17679618435294,-14.973612040770679,-50.97861244149547,-13.284136073189444
Slovenia,ACCESS-ESM1-5,-7.864989109024756,-99.30122632029308,-14.20404657214156,-55.18219712904947,-8.762244903035748
Somalia,ACCESS-ESM1-5,-29.5376167492591,-99.99999354768342,-36.35095194090297,10.367138160423561,-20.79233560299501
Somaliland,ACCESS-ESM1-5,-42.106652046543346,-99.9999961917228,-34.27659111113302,10.649412124636438,-29.262883899615105
South Africa,ACCESS-ESM1-5,22.13794576089083,-99.99980882064304,-15.164491699644412,-9.747028883978976,-10.260863105731431
South Korea,ACCESS-ESM1-5,1.530097691342469,-99.27561540161265,-17.225713729557114,-38.404953606584726,-14.722976771480129
Spain,ACCESS-ESM1-5,14.78811929287367,-99.99999949326667,-1.052756325183113,-90.22261825046253,2.2663009541293633
Sri Lanka,ACCESS-ESM1-5,-15.803198266753382,-99.99999949389793,-35.09674197260232,45.267648186963754,-20.632977879648443
Sudan,ACCESS-ESM1-5,-54.95159793188809,-99.99999999847428,-47.62180537020164,2.76617125981945,-40.68558690925844
Suriname,ACCESS-ESM1-5,-62.82699691581504,-100.0,-56.14543663551248,-78.00371033054732,-53.26517036656665
Sweden,ACCESS-ESM1-5,34.23197900810546,669660.8173008342,6.874789548581761,95.59803452472539,7.233262630314852
Switzerland,ACCESS-ESM1-5,-3.808390421707708,-94.09862156647418,-7.453966705400672,-52.69996660254611,-8.7539167872076
Syria,ACCESS-ESM1-5,-43.16714182613974,-99.99999379778711,-43.49757080764076,-90.40692211126978,-34.09528161499938
Tajikistan,ACCESS-ESM1-5,0.2758845113902675,408565.9282430079,10.072017661894517,46.73229065754495,6.1486760888736836
Tanzania,ACCESS-ESM1-5,7.688453233413295,-99.99999812220129,-29.50782691714908,14.391167703544427,-25.556192236440964
Thailand,ACCESS-ESM1-5,-22.64453962159757,-99.99999999889098,-36.895707613073526,-37.837888751021296,-26.242334568066262
Turkey,ACCESS-ESM1-5,-12.881500596751538,-99.85310424889373,-22.029171030104244,-56.71119289389861,-16.767228151030096
Turkmenistan,ACCESS-ESM1-5,25.594696814070605,-98.84529777876533,-8.472849667377814,27.245926661463848,-3.6015165090599375
Uganda,ACCESS-ESM1-5,-9.895614561891852,-99.9999994959112,-29.48406086365487,3.943005328028948,-28.808871841850987
Ukraine,ACCESS-ESM1-5,-13.8683800092959,-99.67671718471209,-20.89019027999972,-59.18212366838091,-18.942547982628405
United Kingdom,ACCESS-ESM1-5,1.8618158354341219,-95.06010802128434,-7.703575354689274,-28.859997704842534,-5.150749524220666
United States of America,ACCESS-ESM1-5,-16.206131387749267,-98.02906004918519,-16.65786276039266,-8.632102033002791,-12.157452668821577
Uruguay,ACCESS-ESM1-5,21.293609780320644,-99.95587648608362,-21.452327601479038,19.82457707207155,-11.206768472669221
Uzbekistan,ACCESS-ESM1-5,-10.239514414664486,-91.1672543246926,-7.354414246131292,26.06651288390993,-1.3738888108748404
Venezuela,ACCESS-ESM1-5,-52.060832171351734,-99.99999999999952,-49.12085073396605,-80.3635504662788,-44.151411365174226
Vietnam,ACCESS-ESM1-5,-19.34121301172477,-99.99999982044243,-38.18576572693495,-46.49725338208633,-34.52156161171413
Zambia,ACCESS-ESM1-5,-2.614925729298312,-99.99999999038674,-26.648533268086716,-33.92102285255751,-22.346757112325626
Zimbabwe,ACCESS-ESM1-5,28.663730196612192,-99.999999998803,-11.220034965823633,-39.773360339329315,9.83150184282444
eSwatini,ACCESS-ESM1-5,6.236627597408062,-99.99996983304993,-20.92258236284398,16.054966927413872,-8.497179235492474
Afghanistan,CNRM-ESM2-1,-33.47370493437174,-99.99999845756157,-63.951850798574284,-70.583845059373,-54.665960802103825
Albania,CNRM-ESM2-1,-14.44481159725739,-99.99999999813186,-49.91868214256991,-98.92636548681513,-29.738530337616943
Algeria,CNRM-ESM2-1,-65.52479703030735,-100.0,-77.93366456267435,-99.9997230934087,-72.36242103649049
Angola,CNRM-ESM2-1,-31.551139519243556,-99.99999999999994,-59.29508756298338,-99.5925670951479,-42.41154431974701
Argentina,CNRM-ESM2-1,-21.638642739007263,-99.99999340577929,-39.820759080287914,-72.18573619770228,-27.034544805599843
Armenia,CNRM-ESM2-1,-31.399532651885607,-99.9999951217327,-49.92547856395839,-90.73909112873908,-34.18009650850135
Australia,CNRM-ESM2-1,-42.482535982586086,-100.0,-67.94127732831666,-99.90650435653895,-53.85953013565366
Austria,CNRM-ESM2-1,0.14998542301376538,-99.61110096438503,-27.656439764064487,25.189233058439676,-0.5122987169210003
Azerbaijan,CNRM-ESM2-1,8.393783407081568,-99.99999997668675,-55.25255245959553,-87.61889793981734,-40.3706889677509
Bangladesh,CNRM-ESM2-1,-25.212261936575697,-99.99999999748101,-66.12159215880679,-95.0400385382039,-36.525594281090896
Belarus,CNRM-ESM2-1,-18.37681819850229,-99.0539954579113,-29.376009203252316,48.9366389967449,-6.853199830095902
Belgium,CNRM-ESM2-1,-15.70359434769476,-99.9620637592464,-30.216236792459927,-5.203988130026871,-15.996215318446204
Belize,CNRM-ESM2-1,-4.509763488947193,-99.99999999999373,-43.08333474879016,-96.92344311275073,-13.469664362480382
Benin,CNRM-ESM2-1,-28.259727479061493,-99.99999999999991,-57.221011507146066,-82.93683803294414,-17.65850207312125
Bhutan,CNRM-ESM2-1,1.5747834101329516,-99.96538571467889,-35.37303996258506,-17.19605597766305,-18.1528812192305
Bolivia,CNRM-ESM2-1,-30.039254092969703,-99.99999999999311,-64.287476405671,-99.16461270776374,-56.91302449568825
Bosnia and Herz.,CNRM-ESM2-1,-32.325248933115816,-99.99999632079383,-43.34226074339001,-82.74149166950264,-22.215299771091296
Botswana,CNRM-ESM2-1,-48.1861495563086,-100.0,-76.10926810265568,-99.999730400452,-71.47006373939679
Brazil,CNRM-ESM2-1,-29.701661389075305,-99.99999999999997,-69.07209794563384,-98.85073470529593,-47.09338241643766
Bulgaria,CNRM-ESM2-1,-59.401396711318725,-99.99999996831305,-69.00912717848394,-98.13126710193026,-61.00899356516534
Burkina Faso,CNRM-ESM2-1,-13.15927637183345,-99.99999999999983,-57.467062048433924,2.176676419066359,-7.688814135718652
Burundi,CNRM-ESM2-1,-17.379781743732526,-99.99999990866904,-41.49852917081207,-88.5546833905012,-23.016503902260986
Cambodia,CNRM-ESM2-1,-35.07402547127837,-99.99999999999997,-69.13648550087281,-98.38952935349036,-44.02503954280502
Cameroon,CNRM-ESM2-1,-5.318393618226791,-99.9999999999583,-53.728489314726666,-96.57294525204344,-31.364632683203382
Canada,CNRM-ESM2-1,16.309893970229194,57882253.25113456,-3.9606643553746657,609.1392835330444,6.336554698268038
Central African Rep.,CNRM-ESM2-1,25.4867519522173,-99.99999999442792,-44.806397653508526,24.826742139849124,10.48386445485525
Chile,CNRM-ESM2-1,-0.4646037396721536,-99.99988448317224,-36.86705574853404,-84.63413210377792,-23.553775310776317
China,CNRM-ESM2-1,27.13782648746608,-76.356320017428,-17.1966722258584,43.03411396668311,11.374292251336303
Colombia,CNRM-ESM2-1,-15.354640256771024,-99.99999999999835,-64.33112990830712,-98.87167479411966,-45.53283824662164
Congo,CNRM-ESM2-1,-6.365937610342054,-99.99999999999348,-54.370216499562794,-96.76866865296464,-25.331070507651084
Costa Rica,CNRM-ESM2-1,11.01662863503876,-99.9999999998894,-54.82389248957868,-99.38663959866174,-42.91484015648
Croatia,CNRM-ESM2-1,17.880065725139627,-99.99998858589643,-31.82006341298802,-48.16159102640228,0.1919599366161151
Cuba,CNRM-ESM2-1,-46.266735913184846,-99.99999999994908,-61.3318379773666,-98.05663303560044,-41.88201929000114
Czechia,CNRM-ESM2-1,-36.61601179631933,-99.98145040523791,-34.91218130476991,-5.22167005164258,-11.22130611931944
Côte d'Ivoire,CNRM-ESM2-1,-25.74913388790494,-99.99999999999999,-61.27004341251438,-97.81045633281414,-32.6226631179605
Dem. Rep. Congo,CNRM-ESM2-1,-17.581762619724483,-99.9999999999192,-55.374147473191336,-77.35074174667524,-11.720583055762596
Denmark,CNRM-ESM2-1,-11.180951673540928,-97.62962629650967,-11.235658305108377,91.10582889324267,13.982337232191833
Dominican Rep.,CNRM-ESM2-1,-29.6309901581849,-99.99999999996959,-58.14687019211977,-99.45004994089221,-50.527340912293056
Ecuador,CNRM-ESM2-1,-22.403588216595704,-99.99999994629381,-56.729566264738175,-96.97770370734244,-47.05752296714731
El Salvador,CNRM-ESM2-1,-64.83620861560138,-100.0,-78.12490330531313,-99.50606614668581,-56.16946797447541
Eq. Guinea,CNRM-ESM2-1,-8.483088023888918,-99.99999999959024,-54.431904795549116,-96.07525926911634,-36.55114511450732
Eritrea,CNRM-ESM2-1,-31.84427946029529,-100.0,-51.84697594489284,-99.85428950020346,-4.736995648828269
Estonia,CNRM-ESM2-1,6.152567080136628,-58.64049924746577,-0.8703331071330256,250.10584941878932,39.38870071415311
Ethiopia,CNRM-ESM2-1,-24.59760895380727,-99.99999999999723,-56.14996323035039,-91.79970829040911,-31.89809356198753
Finland,CNRM-ESM2-1,17.387067071580198,8370.284124735148,-19.283118885763184,563.0331441297874,4.635507704375841
France,CNRM-ESM2-1,-2.477593397482636,-99.99993265280463,-33.772653147861895,-51.19519990976484,-14.757079245751541
Gabon,CNRM-ESM2-1,-3.686651381411621,-99.99999999977977,-53.80315462046832,-96.4497074786492,-33.08222993100972
Gambia,CNRM-ESM2-1,-24.374178698978067,-100.0,-62.88744946104268,-99.17463294337149,-19.814540301511357
Georgia,CNRM-ESM2-1,2.898605598496995,-99.99920343229824,-40.655752532423094,-59.30538757963875,-23.291314247323953
Germany,CNRM-ESM2-1,-3.7900426962283573,-99.90150613661409,-24.672363438781876,24.4714242819577,-1.9671789358912561
Ghana,CNRM-ESM2-1,-25.236828636409392,-99.99999999999999,-58.94792073337571,-97.33526646030728,-21.51749027112107
Greece,CNRM-ESM2-1,-50.617423708735096,-99.99999999998853,-65.11384598583794,-99.66774866797499,-59.384729951743935
Greenland,CNRM-ESM2-1,26.63338282365304,3.0748327458004407e+25,144.4538890600636,4872.175285517413,27.551971134062104
Guatemala,CNRM-ESM2-1,-22.305343857086836,-99.99999999985737,-57.52520738318228,-99.42803851023874,-50.03499271181874
