region_list,model_name,model_cumulative,burke_growth,burke_growth_5,burke_growth_25,burke_growth_75,burke_growth_95,burke_level,burke_level_5,burke_level_25,burke_level_75,burke_level_95,newell_growth,newell_growth_5,newell_growth_25,newell_growth_75,newell_growth_95,newell_level,newell_level_5,newell_level_25,newell_level_75,newell_level_95
Germany,CNRM-ESM2-1,-3.7900426962283573,-99.90150613661409,-99.99642090843443,-99.97184210040008,-99.39211500346438,-95.83763279238292,-24.672363438781876,-29.582108702044852,-26.413413091854665,-21.888501320674656,-18.904077705288646,24.4714242819577,-99.9999474349805,-61.39108163327459,197.54902815862053,57164.801909042995,-1.9671789358912561,-44.42417923662321,-14.527222052119601,14.586372591874003,26.9536701138432
United Kingdom,CNRM-ESM2-1,-4.2753326468405906,-99.70692559629293,-99.97617580789124,-99.8830284891113,-98.84270804570818,-94.90141987105979,-22.75602193945181,-26.51748586961995,-24.01779647770743,-20.696290483585244,-18.329435168755282,-2.224029723581933,-99.99634922426966,-82.1058922706196,85.96652168053194,6066.069501307838,-7.788411977190684,-36.47357767761451,-15.314041100507303,1.3029025527392324,6.703231012032364
Ukraine,CNRM-ESM2-1,-14.65264366844935,-99.9978862624673,-99.9999688788488,-99.9995829928904,-99.97853805831434,-99.76167891187401,-39.803638834494535,-45.08824000441716,-41.74951878431663,-36.861592852270796,-33.51137572939101,-19.613336248983835,-99.9999997275503,-93.89320261134793,54.6316284607329,56923.964982981786,-19.161404436316936,-55.81583177502432,-29.93971337126965,-2.4390846066648626,17.645704442250867
Denmark,CNRM-ESM2-1,-11.180951673540928,-97.62962629650967,-99.88552524999403,-99.26654773657668,-87.15256745500994,-23.087647715945725,-11.235658305108377,-16.527108649556986,-13.152212911486227,-8.323112295036683,-5.312678321047359,91.10582889324267,-99.9996626908282,9.646933979384704,1370.198517410731,324725.69275764714,13.982337232191833,-36.97313131573447,0.18814493203755667,29.793332691385345,46.370500864319666
Ireland,CNRM-ESM2-1,3.826776987958258,-99.69373896038334,-99.96840338902928,-99.86907456851813,-98.94069842185847,-95.99713191303594,-17.376302442337742,-21.136413510525244,-18.622620989018944,-15.383407510316637,-13.179367463236302,-5.943375780282128,-99.98900725080573,-89.78768959854794,70.18226339923721,2451.757467668223,-4.720016937920923,-32.681147118401746,-11.013495175814619,1.9149514393185074,9.07730426922686
Lesotho,CNRM-ESM2-1,1.3310281386878842,-99.99999995190953,-99.9999999992195,-99.99999999016535,-99.99999953407037,-99.99999469731992,-47.86721954614476,-51.88921745548446,-49.37535167134966,-45.71505926106505,-43.13356904118268,-96.80484565999404,-99.99999997783635,-99.99991796889391,-39.405574476175005,4051.484976693405,-34.89278960385862,-58.93913646738445,-41.59810340926048,-24.873476070232826,-12.424789575593431
North Macedonia,CNRM-ESM2-1,-42.22900655017441,-99.9999999660184,-99.99999999922554,-99.99999999193666,-99.99999972166007,-99.99999720236178,-57.74001252217904,-61.99699288100295,-59.31159212471629,-55.31683977198378,-52.51614128264425,-96.68142533870395,-99.99999996095,-99.99997752480223,-43.069194243708715,3731.862992072308,-44.5325898677777,-68.04241034676939,-52.048018851472676,-35.86002409750094,-16.607525034278005
Afghanistan,CNRM-ESM2-1,-33.47370493437174,-99.99999845756157,-99.99999998782845,-99.99999977053756,-99.99997902119574,-99.99967598564497,-63.951850798574284,-67.16587304399097,-65.23257788059466,-62.4642984954332,-60.26623982367292,-70.583845059373,-99.99999999921164,-99.9916046858268,-35.49202149456664,3646.90468485275,-54.665960802103825,-64.59238595820617,-60.31789826380259,-49.233470840194066,-41.246906487864386
Japan,CNRM-ESM2-1,24.867321796053645,-99.99918091025617,-99.9999806909355,-99.9998064301806,-99.99410809290131,-99.9490774609359,-35.162526891533254,-39.6881086607691,-36.789467484048,-32.76541844139065,-30.05673306415233,-36.87764065761401,-99.99999827490942,-99.73491704933727,24.41007058066556,6959.3638824894,-18.110682625960038,-47.07739104272947,-26.176822948781062,-2.7494592555842328,8.137468673435729
Turkey,CNRM-ESM2-1,-30.930912289739897,-99.99999999123233,-99.99999999989495,-99.99999999844877,-99.99999990433281,-99.99999880038062,-60.802141153568236,-64.74787671478475,-62.27041565206841,-58.566787275443666,-55.95374216771211,-97.85025703260939,-99.99999999410944,-99.99997795202174,-42.156090190205,4784.007853827267,-49.13526076820891,-70.02289483348854,-55.57308768119626,-41.163439867065705,-23.239564595180358
Moldova,CNRM-ESM2-1,-42.78240064460766,-99.99999494716899,-99.99999993763898,-99.99999908281362,-99.9999479600339,-99.99936869714577,-54.805036048750885,-59.29423297297869,-56.482297961104976,-52.3145126581992,-49.44939335587142,-58.9706000546293,-99.9999999881049,-99.98725522944707,-9.913283553342335,3809.9822980225445,-39.98781408704328,-66.31857908815107,-47.794720353933485,-30.870510306703448,-10.43936311783686
